date,day,meals_prepared,meals_consumed,temperature,rainfall,is_holiday,is_weekend,special_event,food_cost_per_meal
2025-02-14,Friday,493,463,41.6,0.0,0,0,0,60
2025-02-15,Saturday,364,338,35.4,15.5,0,1,0,60
2025-02-16,Sunday,432,349,30.2,0.0,0,1,0,60
2025-02-17,Monday,475,378,30.9,0.0,1,0,1,60
2025-02-18,Tuesday,551,488,32.5,9.9,0,0,0,60
2025-02-19,Wednesday,570,491,26.7,10.6,0,0,0,60
2025-02-20,Thursday,487,466,40.6,11.3,0,0,0,60
2025-02-21,Friday,603,546,26.5,1.1,0,0,0,60
2025-02-22,Saturday,437,388,28.7,0.0,0,1,0,60
2025-02-23,Sunday,491,458,30.7,3.5,0,1,0,60
2025-02-24,Monday,373,322,31.0,0.0,1,0,0,60
2025-02-25,Tuesday,602,552,33.3,0.0,0,0,0,60
2025-02-26,Wednesday,334,305,31.4,0.0,1,0,0,60
2025-02-27,Thursday,580,496,34.2,10.6,0,0,0,60
2025-02-28,Friday,548,499,25.9,0.0,0,0,0,60
2025-03-01,Saturday,483,429,30.6,0.0,0,1,0,60
2025-03-02,Sunday,477,432,34.1,9.5,0,1,0,60
2025-03-03,Monday,368,341,30.1,1.1,1,0,0,60
2025-03-04,Tuesday,522,479,31.6,2.0,0,0,0,60
2025-03-05,Wednesday,488,405,40.5,12.6,0,0,0,60
2025-03-06,Thursday,392,344,29.9,0.0,1,0,0,60
2025-03-07,Friday,609,533,29.3,7.9,0,0,0,60
2025-03-08,Saturday,448,363,27.6,4.9,0,1,0,60
2025-03-09,Sunday,498,434,23.0,0.0,0,1,0,60
2025-03-10,Monday,523,499,34.3,1.7,0,0,0,60
2025-03-11,Tuesday,528,479,28.6,13.2,0,0,0,60
2025-03-12,Wednesday,530,505,33.5,0.0,0,0,0,60
2025-03-13,Thursday,576,501,30.1,6.8,0,0,0,60
2025-03-14,Friday,571,529,40.8,0.0,0,0,0,60
2025-03-15,Saturday,392,366,26.0,1.7,0,1,0,60
2025-03-16,Sunday,429,337,31.7,18.0,0,1,0,60
2025-03-17,Monday,625,536,32.5,8.9,0,0,0,60
2025-03-18,Tuesday,529,432,35.9,0.0,0,0,0,60
2025-03-19,Wednesday,522,481,36.8,5.2,0,0,0,60
2025-03-20,Thursday,544,488,30.0,3.4,0,0,0,60
2025-03-21,Friday,561,513,33.1,0.0,0,0,0,60
2025-03-22,Saturday,493,429,31.7,0.0,0,1,0,60
2025-03-23,Sunday,386,364,30.3,11.2,0,1,0,60
2025-03-24,Monday,537,486,33.2,13.9,0,0,0,60
2025-03-25,Tuesday,538,456,21.2,10.1,0,0,0,60
2025-03-26,Wednesday,488,432,38.1,0.0,0,0,0,60
2025-03-27,Thursday,549,510,29.7,3.0,0,0,0,60
2025-03-28,Friday,571,498,31.8,0.0,0,0,0,60
2025-03-29,Saturday,250,208,34.8,0.0,1,1,0,60
2025-03-30,Sunday,472,449,29.5,0.0,0,1,0,60
2025-03-31,Monday,623,530,30.2,7.1,0,0,0,60
2025-04-01,Tuesday,535,486,29.4,1.2,0,0,0,60
2025-04-02,Wednesday,531,452,27.1,22.0,0,0,0,60
2025-04-03,Thursday,558,496,32.9,5.5,0,0,0,60
2025-04-04,Friday,622,577,25.2,0.0,0,0,1,60
2025-04-05,Saturday,525,442,26.8,0.0,0,1,0,60
2025-04-06,Sunday,478,399,34.4,0.0,0,1,0,60
2025-04-07,Monday,571,523,24.8,1.5,0,0,0,60
2025-04-08,Tuesday,510,478,39.5,3.2,0,0,0,60
2025-04-09,Wednesday,553,501,26.7,0.0,0,0,0,60
2025-04-10,Thursday,537,497,25.8,6.1,0,0,0,60
2025-04-11,Friday,539,458,32.5,0.0,0,0,0,60
2025-04-12,Saturday,413,374,32.7,0.0,0,1,0,60
2025-04-13,Sunday,460,398,31.3,0.0,0,1,0,60
2025-04-14,Monday,588,489,23.9,1.8,0,0,0,60
2025-04-15,Tuesday,545,488,35.0,0.0,0,0,0,60
2025-04-16,Wednesday,546,449,37.2,0.0,0,0,0,60
2025-04-17,Thursday,567,502,31.9,0.0,0,0,0,60
2025-04-18,Friday,535,502,29.2,2.0,0,0,0,60
2025-04-19,Saturday,472,421,32.0,0.0,0,1,0,60
2025-04-20,Sunday,476,432,28.4,1.0,0,1,0,60
2025-04-21,Monday,572,480,30.1,16.4,0,0,0,60
2025-04-22,Tuesday,553,507,18.9,0.0,0,0,0,60
2025-04-23,Wednesday,536,504,31.7,0.0,0,0,0,60
2025-04-24,Thursday,644,579,31.2,0.0,0,0,1,60
2025-04-25,Friday,576,493,32.4,5.7,0,0,0,60
2025-04-26,Saturday,457,386,25.1,0.0,0,1,0,60
2025-04-27,Sunday,371,315,32.1,18.0,0,1,0,60
2025-04-28,Monday,730,641,37.5,4.4,0,0,1,60
2025-04-29,Tuesday,546,480,30.5,8.8,0,0,0,60
2025-04-30,Wednesday,641,547,32.4,0.0,0,0,0,60
2025-05-01,Thursday,568,501,25.1,2.0,0,0,0,60
2025-05-02,Friday,491,471,35.5,0.0,0,0,0,60
2025-05-03,Saturday,446,367,24.9,0.0,0,1,0,60
2025-05-04,Sunday,427,393,23.5,0.0,0,1,0,60
2025-05-05,Monday,567,546,16.5,2.6,0,0,0,60
2025-05-06,Tuesday,540,487,35.6,0.0,0,0,0,60
2025-05-07,Wednesday,335,299,42.9,3.5,1,0,0,60
2025-05-08,Thursday,308,252,29.3,23.6,1,0,0,60
2025-05-09,Friday,539,451,16.7,11.7,0,0,0,60
2025-05-10,Saturday,465,413,28.1,1.8,0,1,0,60
2025-05-11,Sunday,219,198,34.7,13.2,1,1,0,60
2025-05-12,Monday,535,496,24.4,3.8,0,0,0,60
2025-05-13,Tuesday,563,490,28.8,0.0,0,0,0,60
2025-05-14,Wednesday,577,551,35.8,0.0,0,0,1,60
2025-05-15,Thursday,526,486,31.6,0.0,0,0,0,60
2025-05-16,Friday,443,391,35.2,13.5,0,0,0,60
2025-05-17,Saturday,435,346,19.6,16.6,0,1,0,60
2025-05-18,Sunday,380,359,32.0,10.8,0,1,0,60
2025-05-19,Monday,602,504,31.5,0.0,0,0,0,60
2025-05-20,Tuesday,695,602,29.1,0.0,0,0,1,60
2025-05-21,Wednesday,561,525,31.0,0.0,0,0,0,60
2025-05-22,Thursday,592,499,32.4,16.0,0,0,0,60
2025-05-23,Friday,638,612,20.8,0.0,0,0,1,60
2025-05-24,Saturday,462,414,26.4,0.0,0,1,0,60
2025-05-25,Sunday,450,372,25.1,11.4,0,1,0,60
2025-05-26,Monday,349,282,30.9,7.9,1,0,0,60
2025-05-27,Tuesday,549,474,35.7,0.0,0,0,0,60
2025-05-28,Wednesday,539,464,38.9,0.0,0,0,0,60
2025-05-29,Thursday,532,498,33.1,0.0,0,0,0,60
2025-05-30,Friday,534,462,33.1,11.5,0,0,0,60
2025-05-31,Saturday,444,410,34.2,6.7,0,1,0,60
2025-06-01,Sunday,266,223,31.0,9.5,1,1,0,60
2025-06-02,Monday,545,523,29.8,8.5,0,0,0,60
2025-06-03,Tuesday,587,512,27.4,0.0,0,0,0,60
2025-06-04,Wednesday,376,331,36.3,0.0,1,0,0,60
2025-06-05,Thursday,528,507,31.0,9.9,0,0,0,60
2025-06-06,Friday,505,447,30.4,11.5,0,0,0,60
2025-06-07,Saturday,395,342,37.0,10.4,0,1,0,60
2025-06-08,Sunday,384,341,37.9,0.0,0,1,0,60
2025-06-09,Monday,564,469,25.4,0.0,0,0,0,60
2025-06-10,Tuesday,570,471,34.9,1.3,0,0,0,60
2025-06-11,Wednesday,534,500,31.9,12.3,0,0,0,60
2025-06-12,Thursday,610,535,26.9,0.0,0,0,0,60
2025-06-13,Friday,552,490,27.1,5.7,0,0,0,60
2025-06-14,Saturday,410,319,37.7,17.4,0,1,0,60
2025-06-15,Sunday,479,427,28.1,7.3,0,1,0,60
2025-06-16,Monday,575,487,23.1,0.0,0,0,0,60
2025-06-17,Tuesday,525,478,31.1,0.0,0,0,0,60
2025-06-18,Wednesday,562,474,33.4,17.8,0,0,0,60
2025-06-19,Thursday,566,492,35.5,6.2,0,0,0,60
2025-06-20,Friday,516,470,36.9,8.2,0,0,0,60
2025-06-21,Saturday,472,412,30.7,0.0,0,1,0,60
2025-06-22,Sunday,498,416,31.0,3.4,0,1,0,60
2025-06-23,Monday,511,464,40.8,5.1,0,0,0,60
2025-06-24,Tuesday,532,488,33.0,4.5,0,0,0,60
2025-06-25,Wednesday,573,504,31.0,0.1,0,0,0,60
2025-06-26,Thursday,713,639,27.2,6.0,0,0,1,60
2025-06-27,Friday,545,489,29.7,0.0,0,0,0,60
2025-06-28,Saturday,478,406,32.2,0.0,0,1,0,60
2025-06-29,Sunday,442,371,27.2,1.2,0,1,0,60
2025-06-30,Monday,530,493,22.4,0.0,0,0,0,60
2025-07-01,Tuesday,551,494,31.8,3.6,0,0,0,60
2025-07-02,Wednesday,546,516,31.7,6.7,0,0,0,60
2025-07-03,Thursday,477,447,36.6,13.0,0,0,0,60
2025-07-04,Friday,504,463,26.6,17.4,0,0,0,60
2025-07-05,Saturday,549,524,26.6,0.0,0,1,1,60
2025-07-06,Sunday,501,419,27.7,0.0,0,1,0,60
2025-07-07,Monday,583,485,32.1,2.8,0,0,0,60
2025-07-08,Tuesday,540,494,30.0,0.0,0,0,0,60
2025-07-09,Wednesday,626,600,30.1,0.0,0,0,1,60
2025-07-10,Thursday,518,485,25.0,0.8,0,0,0,60
2025-07-11,Friday,674,580,32.9,5.2,0,0,1,60
2025-07-12,Saturday,469,422,30.3,0.0,0,1,0,60
2025-07-13,Sunday,494,423,33.2,3.9,0,1,0,60
2025-07-14,Monday,547,458,38.7,4.6,0,0,0,60
2025-07-15,Tuesday,545,486,27.6,0.0,0,0,0,60
2025-07-16,Wednesday,510,475,38.6,6.5,0,0,0,60
2025-07-17,Thursday,382,325,30.6,0.0,1,0,0,60
2025-07-18,Friday,568,469,32.0,8.2,0,0,0,60
2025-07-19,Saturday,539,450,22.7,0.0,0,1,0,60
2025-07-20,Sunday,474,396,29.1,10.1,0,1,0,60
2025-07-21,Monday,496,457,36.9,6.2,0,0,0,60
2025-07-22,Tuesday,527,479,29.9,12.4,0,0,0,60
2025-07-23,Wednesday,547,507,15.8,0.0,0,0,0,60
2025-07-24,Thursday,496,458,23.5,12.3,0,0,0,60
2025-07-25,Friday,545,506,32.4,0.0,0,0,0,60
2025-07-26,Saturday,453,366,37.5,9.8,0,1,0,60
2025-07-27,Sunday,435,407,40.4,5.9,0,1,0,60
2025-07-28,Monday,563,518,29.6,2.7,0,0,0,60
2025-07-29,Tuesday,597,500,29.6,0.0,0,0,0,60
2025-07-30,Wednesday,583,552,34.6,5.8,0,0,0,60
2025-07-31,Thursday,543,516,29.3,0.0,0,0,0,60
2025-08-01,Friday,576,481,26.9,18.3,0,0,0,60
2025-08-02,Saturday,515,450,32.5,2.8,0,1,0,60
2025-08-03,Sunday,403,375,35.5,12.5,0,1,0,60
2025-08-04,Monday,532,453,24.3,11.0,0,0,0,60
2025-08-05,Tuesday,557,474,28.8,10.7,0,0,0,60
2025-08-06,Wednesday,473,453,33.5,13.3,0,0,0,60
2025-08-07,Thursday,514,475,24.5,0.0,0,0,0,60
2025-08-08,Friday,377,304,19.2,0.0,1,0,0,60
2025-08-09,Saturday,319,297,26.6,21.0,0,1,0,60
2025-08-10,Sunday,398,336,41.5,0.0,0,1,0,60
2025-08-11,Monday,532,493,36.9,7.5,0,0,0,60
2025-08-12,Tuesday,553,513,31.4,1.5,0,0,0,60
2025-08-13,Wednesday,599,522,25.1,0.0,0,0,0,60
2025-08-14,Thursday,534,460,22.1,0.0,0,0,0,60
2025-08-15,Friday,557,460,30.5,0.0,0,0,0,60
2025-08-16,Saturday,528,458,32.2,14.2,0,1,1,60
2025-08-17,Sunday,450,382,30.6,7.3,0,1,0,60
2025-08-18,Monday,490,452,26.7,12.2,0,0,0,60
2025-08-19,Tuesday,512,443,26.4,10.2,0,0,0,60
2025-08-20,Wednesday,518,429,31.4,20.8,0,0,0,60
2025-08-21,Thursday,382,344,29.1,2.0,1,0,0,60
2025-08-22,Friday,422,392,41.1,14.7,0,0,0,60
2025-08-23,Saturday,415,374,26.0,16.1,0,1,0,60
2025-08-24,Sunday,418,357,38.1,0.0,0,1,0,60
2025-08-25,Monday,496,450,31.2,0.0,0,0,0,60
2025-08-26,Tuesday,572,548,31.9,8.6,0,0,0,60
2025-08-27,Wednesday,531,504,32.8,3.6,0,0,0,60
2025-08-28,Thursday,535,452,22.9,15.7,0,0,0,60
2025-08-29,Friday,591,530,24.5,0.5,0,0,0,60
2025-08-30,Saturday,491,405,30.7,0.0,0,1,0,60
2025-08-31,Sunday,187,160,33.5,10.7,1,1,0,60
2025-09-01,Monday,572,517,23.3,3.7,0,0,0,60
2025-09-02,Tuesday,512,462,31.9,22.9,0,0,0,60
2025-09-03,Wednesday,566,514,29.5,7.5,0,0,0,60
2025-09-04,Thursday,557,527,32.7,0.0,0,0,0,60
2025-09-05,Friday,512,452,32.4,22.7,0,0,0,60
2025-09-06,Saturday,498,401,24.7,0.6,0,1,0,60
2025-09-07,Sunday,411,383,32.6,0.0,0,1,0,60
2025-09-08,Monday,518,494,24.0,7.8,0,0,0,60
2025-09-09,Tuesday,492,464,37.5,0.0,0,0,0,60
2025-09-10,Wednesday,554,510,28.1,4.4,0,0,0,60
2025-09-11,Thursday,622,532,36.0,7.0,0,0,0,60
2025-09-12,Friday,594,513,23.2,1.2,0,0,0,60
2025-09-13,Saturday,535,495,33.8,2.8,0,1,1,60
2025-09-14,Sunday,427,399,27.3,6.1,0,1,0,60
2025-09-15,Monday,610,551,32.9,0.0,0,0,0,60
2025-09-16,Tuesday,521,465,27.8,0.0,0,0,0,60
2025-09-17,Wednesday,550,505,21.9,5.3,0,0,0,60
2025-09-18,Thursday,585,513,27.0,17.6,0,0,0,60
2025-09-19,Friday,580,519,27.0,5.2,0,0,0,60
2025-09-20,Saturday,415,390,32.3,0.0,0,1,0,60
2025-09-21,Sunday,513,432,30.9,0.0,0,1,0,60
2025-09-22,Monday,570,529,24.8,7.3,0,0,0,60
2025-09-23,Tuesday,561,532,33.6,7.9,0,0,0,60
2025-09-24,Wednesday,556,458,36.6,7.4,0,0,0,60
2025-09-25,Thursday,576,504,34.6,14.6,0,0,0,60
2025-09-26,Friday,528,473,28.2,0.0,0,0,0,60
2025-09-27,Saturday,438,403,20.2,7.6,0,1,0,60
2025-09-28,Sunday,475,395,31.5,9.5,0,1,0,60
2025-09-29,Monday,528,456,31.4,12.7,0,0,0,60
2025-09-30,Tuesday,594,509,30.9,0.0,0,0,0,60
2025-10-01,Wednesday,525,462,26.7,3.2,0,0,0,60
2025-10-02,Thursday,548,478,31.2,23.8,0,0,0,60
2025-10-03,Friday,650,611,31.9,0.0,0,0,1,60
2025-10-04,Saturday,510,441,29.0,0.0,0,1,0,60
2025-10-05,Sunday,392,372,32.0,0.0,0,1,0,60
2025-10-06,Monday,521,477,26.1,8.2,0,0,0,60
2025-10-07,Tuesday,514,447,27.8,0.0,0,0,0,60
2025-10-08,Wednesday,644,561,22.9,0.0,0,0,1,60
2025-10-09,Thursday,479,454,36.3,4.4,0,0,0,60
2025-10-10,Friday,501,460,37.7,19.0,0,0,0,60
2025-10-11,Saturday,298,252,33.0,2.9,1,1,0,60
2025-10-12,Sunday,377,331,33.5,10.6,0,1,0,60
2025-10-13,Monday,574,496,29.0,0.0,0,0,0,60
2025-10-14,Tuesday,541,454,24.9,17.8,0,0,0,60
2025-10-15,Wednesday,459,411,25.2,12.6,0,0,0,60
2025-10-16,Thursday,577,488,30.7,0.0,0,0,0,60
2025-10-17,Friday,568,510,22.0,0.0,0,0,0,60
2025-10-18,Saturday,412,344,29.9,17.2,0,1,0,60
2025-10-19,Sunday,410,385,32.3,6.2,0,1,0,60
2025-10-20,Monday,535,494,29.5,1.4,0,0,0,60
2025-10-21,Tuesday,598,539,31.8,0.6,0,0,0,60
2025-10-22,Wednesday,555,461,17.9,10.1,0,0,0,60
2025-10-23,Thursday,582,484,32.6,2.1,0,0,0,60
2025-10-24,Friday,579,511,34.0,0.0,0,0,0,60
2025-10-25,Saturday,432,392,29.8,0.0,0,1,0,60
2025-10-26,Sunday,395,370,31.0,12.2,0,1,0,60
2025-10-27,Monday,603,545,33.5,6.0,0,0,0,60
2025-10-28,Tuesday,499,475,32.2,10.2,0,0,0,60
2025-10-29,Wednesday,518,436,40.3,14.2,0,0,0,60
2025-10-30,Thursday,539,503,26.8,0.0,0,0,0,60
2025-10-31,Friday,568,487,38.1,0.1,0,0,0,60
2025-11-01,Saturday,492,407,34.4,2.4,0,1,0,60
2025-11-02,Sunday,406,345,26.2,13.5,0,1,0,60
2025-11-03,Monday,581,488,34.6,0.0,0,0,0,60
2025-11-04,Tuesday,522,477,36.4,0.0,0,0,0,60
2025-11-05,Wednesday,531,476,28.3,0.0,0,0,0,60
2025-11-06,Thursday,565,505,32.1,0.0,0,0,0,60
2025-11-07,Friday,563,473,29.6,6.6,0,0,0,60
2025-11-08,Saturday,275,213,32.1,0.0,1,1,0,60
2025-11-09,Sunday,313,228,32.9,5.6,1,1,0,60
2025-11-10,Monday,553,468,28.5,17.5,0,0,0,60
2025-11-11,Tuesday,551,475,19.4,0.0,0,0,0,60
2025-11-12,Wednesday,568,489,27.5,0.0,0,0,0,60
2025-11-13,Thursday,515,445,36.1,15.2,0,0,0,60
2025-11-14,Friday,505,480,29.9,6.0,0,0,0,60
2025-11-15,Saturday,496,421,31.4,0.9,0,1,0,60
2025-11-16,Sunday,547,503,23.3,0.0,0,1,1,60
2025-11-17,Monday,555,515,32.6,4.4,0,0,0,60
2025-11-18,Tuesday,546,491,35.5,5.2,0,0,0,60
2025-11-19,Wednesday,540,461,35.5,2.0,0,0,0,60
2025-11-20,Thursday,602,510,29.5,1.2,0,0,0,60
2025-11-21,Friday,382,296,33.7,7.9,1,0,0,60
2025-11-22,Saturday,428,365,35.4,8.3,0,1,0,60
2025-11-23,Sunday,282,239,28.9,0.2,1,1,0,60
2025-11-24,Monday,346,258,21.9,11.4,1,0,0,60
2025-11-25,Tuesday,540,457,34.8,16.7,0,0,0,60
2025-11-26,Wednesday,549,488,29.2,3.7,0,0,0,60
2025-11-27,Thursday,614,524,25.4,4.9,0,0,0,60
2025-11-28,Friday,621,567,32.5,8.2,0,0,0,60
2025-11-29,Saturday,467,400,32.6,14.0,0,1,0,60
2025-11-30,Sunday,444,394,36.6,0.0,0,1,0,60
2025-12-01,Monday,546,476,40.9,1.6,0,0,0,60
2025-12-02,Tuesday,493,470,38.5,2.2,0,0,0,60
2025-12-03,Wednesday,532,464,27.9,0.0,0,0,0,60
2025-12-04,Thursday,603,583,29.6,0.0,0,0,1,60
2025-12-05,Friday,547,453,28.5,0.0,0,0,0,60
2025-12-06,Saturday,442,395,30.6,0.0,0,1,0,60
2025-12-07,Sunday,410,357,35.4,3.2,0,1,0,60
2025-12-08,Monday,539,495,22.4,9.7,0,0,0,60
2025-12-09,Tuesday,569,540,27.6,4.2,0,0,0,60
2025-12-10,Wednesday,497,444,34.5,0.0,0,0,0,60
2025-12-11,Thursday,578,504,29.3,3.6,0,0,0,60
2025-12-12,Friday,329,236,32.2,12.4,1,0,0,60
2025-12-13,Saturday,391,371,34.8,5.3,0,1,0,60
2025-12-14,Sunday,406,383,30.5,0.0,0,1,0,60
2025-12-15,Monday,599,524,30.8,0.0,0,0,0,60
2025-12-16,Tuesday,524,441,32.1,17.7,0,0,0,60
2025-12-17,Wednesday,516,471,37.0,1.0,0,0,0,60
2025-12-18,Thursday,604,529,34.1,0.0,0,0,0,60
2025-12-19,Friday,524,492,24.5,0.0,0,0,0,60
2025-12-20,Saturday,420,395,33.9,3.4,0,1,0,60
2025-12-21,Sunday,468,369,21.6,0.0,0,1,0,60
2025-12-22,Monday,470,448,27.0,18.1,0,0,0,60
2025-12-23,Tuesday,629,597,32.7,3.1,0,0,1,60
2025-12-24,Wednesday,587,491,28.1,0.0,0,0,0,60
2025-12-25,Thursday,547,497,33.5,0.3,0,0,0,60
2025-12-26,Friday,512,449,32.2,7.2,0,0,0,60
2025-12-27,Saturday,404,380,33.2,7.0,0,1,0,60
2025-12-28,Sunday,425,378,26.9,0.0,0,1,0,60
2025-12-29,Monday,535,436,24.6,4.9,0,0,0,60
2025-12-30,Tuesday,558,522,28.6,5.3,0,0,0,60
2025-12-31,Wednesday,568,506,27.7,2.2,0,0,0,60
2026-01-01,Thursday,597,507,32.3,0.1,0,0,0,60
2026-01-02,Friday,497,455,31.9,2.8,0,0,0,60
2026-01-03,Saturday,415,356,36.3,8.1,0,1,0,60
2026-01-04,Sunday,453,388,35.3,4.8,0,1,0,60
2026-01-05,Monday,544,454,33.2,12.3,0,0,0,60
2026-01-06,Tuesday,574,499,33.0,0.0,0,0,0,60
2026-01-07,Wednesday,535,487,28.1,10.6,0,0,0,60
2026-01-08,Thursday,566,523,26.9,9.9,0,0,0,60
2026-01-09,Friday,598,517,32.6,7.1,0,0,0,60
2026-01-10,Saturday,400,374,35.9,8.7,0,1,0,60
2026-01-11,Sunday,207,179,25.6,0.0,1,1,0,60
2026-01-12,Monday,360,336,20.5,4.7,1,0,0,60
2026-01-13,Tuesday,524,482,34.7,1.7,0,0,0,60
2026-01-14,Wednesday,613,515,34.1,1.4,0,0,0,60
2026-01-15,Thursday,621,530,23.8,0.0,0,0,0,60
2026-01-16,Friday,544,505,14.9,4.5,0,0,0,60
2026-01-17,Saturday,474,413,27.5,9.7,0,1,0,60
2026-01-18,Sunday,452,382,32.0,0.0,0,1,0,60
2026-01-19,Monday,525,500,28.0,0.0,0,0,0,60
2026-01-20,Tuesday,553,466,34.1,0.0,0,0,0,60
2026-01-21,Wednesday,535,443,25.9,11.2,0,0,0,60
2026-01-22,Thursday,509,439,32.0,2.2,0,0,0,60
2026-01-23,Friday,559,479,29.3,7.2,0,0,0,60
2026-01-24,Saturday,438,415,30.4,4.6,0,1,0,60
2026-01-25,Sunday,427,371,36.0,6.3,0,1,0,60
2026-01-26,Monday,573,488,27.2,0.0,0,0,0,60
2026-01-27,Tuesday,577,487,37.3,0.0,0,0,0,60
2026-01-28,Wednesday,588,509,33.4,0.0,0,0,0,60
2026-01-29,Thursday,460,425,25.5,11.6,0,0,0,60
2026-01-30,Friday,542,501,28.4,7.8,0,0,0,60
2026-01-31,Saturday,244,191,25.0,0.0,1,1,0,60
2026-02-01,Sunday,496,399,17.2,1.5,0,1,0,60
2026-02-02,Monday,546,465,28.7,19.1,0,0,0,60
2026-02-03,Tuesday,645,616,32.2,3.2,0,0,1,60
2026-02-04,Wednesday,490,441,33.0,10.8,0,0,0,60
2026-02-05,Thursday,686,604,30.8,3.4,0,0,1,60
2026-02-06,Friday,514,476,31.2,0.0,0,0,0,60
2026-02-07,Saturday,497,400,29.5,0.0,0,1,0,60
2026-02-08,Sunday,414,383,31.2,1.4,0,1,0,60
2026-02-09,Monday,538,487,36.4,7.5,0,0,0,60
2026-02-10,Tuesday,539,496,35.7,0.0,0,0,0,60
2026-02-11,Wednesday,509,479,34.9,2.4,0,0,0,60
2026-02-12,Thursday,563,489,40.4,3.3,0,0,0,60
2026-02-13,Friday,467,444,29.0,0.1,0,0,0,60
2026-02-14,Saturday,531,444,37.7,1.4,0,1,1,60
2026-02-15,Sunday,414,360,27.9,7.7,0,1,0,60
2026-02-16,Monday,538,503,32.3,0.0,0,0,0,60
2026-02-17,Tuesday,584,545,32.1,3.2,0,0,0,60
2026-02-18,Wednesday,570,489,29.0,14.1,0,0,0,60
2026-02-19,Thursday,333,288,28.4,3.0,1,0,0,60
2026-02-20,Friday,539,517,33.0,6.8,0,0,0,60
2026-02-21,Saturday,492,393,40.5,1.0,0,1,0,60
2026-02-22,Sunday,455,359,29.1,0.0,0,1,0,60
2026-02-23,Monday,482,410,20.7,11.1,0,0,0,60
2026-02-24,Tuesday,545,485,34.5,0.0,0,0,0,60
2026-02-25,Wednesday,610,549,28.0,8.5,0,0,0,60
2026-02-26,Thursday,618,523,22.2,0.0,0,0,0,60
2026-02-27,Friday,490,423,29.1,10.4,0,0,0,60
2026-02-28,Saturday,399,374,29.9,0.0,0,1,0,60
2026-03-01,Sunday,511,430,17.0,4.6,0,1,0,60
2026-03-02,Monday,552,510,24.6,0.0,0,0,0,60
2026-03-03,Tuesday,580,483,27.5,2.3,0,0,0,60
2026-03-04,Wednesday,494,474,30.2,0.0,0,0,0,60
2026-03-05,Thursday,502,456,33.4,0.0,0,0,0,60
2026-03-06,Friday,606,514,26.6,9.9,0,0,0,60
2026-03-07,Saturday,438,362,27.0,14.4,0,1,0,60
2026-03-08,Sunday,408,385,26.0,6.8,0,1,0,60
2026-03-09,Monday,551,490,33.3,0.0,0,0,0,60
2026-03-10,Tuesday,578,503,31.3,0.0,0,0,0,60
